SteamID,Name,Path
1046930,Dota Underlords,F:\Game\Steam\steamapps\appmanifest_1046930.acf
12120,Grand Theft Auto: San Andreas,F:\Game\Steam\steamapps\appmanifest_12120.acf
228980,Steamworks Common Redistributables,F:\Game\Steam\steamapps\appmanifest_228980.acf
239140,Dying Light,F:\Game\Steam\steamapps\appmanifest_239140.acf
261550,Mount & Blade II: Bannerlord,F:\Game\Steam\steamapps\appmanifest_261550.acf
271590,Grand Theft Auto V,F:\Game\Steam\steamapps\appmanifest_271590.acf
275850,No Man's Sky,F:\Game\Steam\steamapps\appmanifest_275850.acf
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,F:\Game\Steam\steamapps\appmanifest_287700.acf
289070,Sid Meier's Civilization VI,F:\Game\Steam\steamapps\appmanifest_289070.acf
292030,The Witcher 3: Wild Hunt,F:\Game\Steam\steamapps\appmanifest_292030.acf
367670,Controller Companion,F:\Game\Steam\steamapps\appmanifest_367670.acf
377160,Fallout 4,F:\Game\Steam\steamapps\appmanifest_377160.acf
38400,Fallout,F:\Game\Steam\steamapps\appmanifest_38400.acf
38410,Fallout 2,F:\Game\Steam\steamapps\appmanifest_38410.acf
397540,Borderlands 3,F:\Game\Steam\steamapps\appmanifest_397540.acf
413150,Stardew Valley,F:\Game\Steam\steamapps\appmanifest_413150.acf
435150,Divinity: Original Sin 2,F:\Game\Steam\steamapps\appmanifest_435150.acf
489830,The Elder Scrolls V: Skyrim Special Edition,F:\Game\Steam\steamapps\appmanifest_489830.acf
535930,Two Point Hospital,F:\Game\Steam\steamapps\appmanifest_535930.acf
607380,Fences,F:\Game\Steam\steamapps\appmanifest_607380.acf
779340,Total War: THREE KINGDOMS,F:\Game\Steam\steamapps\appmanifest_779340.acf
814380,Sekiro™: Shadows Die Twice,F:\Game\Steam\steamapps\appmanifest_814380.acf
994280,古剑奇谭三(Gujian3),F:\Game\Steam\steamapps\appmanifest_994280.acf
